#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
Swap,Swap,1,0,2017-02-09,Interest,#N/A,EUR,0.0210000000,1.0166666667,2016-02-09,2017-02-09,0.0000,#N/A,#N/A,10000000.0000,0.9798584649,#N/A,1.0000000000,#N/A,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap,Swap,2,0,2018-02-09,Interest,#N/A,EUR,0.0210000000,1.0138888889,2017-02-09,2018-02-09,0.0000,#N/A,#N/A,10000000.0000,0.9603866441,#N/A,1.0000000000,#N/A,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap,Swap,3,0,2019-02-11,Interest,#N/A,EUR,0.0210000000,1.0194444444,2018-02-09,2019-02-11,0.0000,#N/A,#N/A,10000000.0000,0.9411982459,#N/A,1.0000000000,#N/A,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap,Swap,4,0,2020-02-10,Interest,#N/A,EUR,0.0210000000,1.0111111111,2019-02-11,2020-02-10,0.0000,#N/A,#N/A,10000000.0000,0.9225454154,#N/A,1.0000000000,#N/A,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap,Swap,5,0,2021-02-09,Interest,#N/A,EUR,0.0210000000,1.0138888889,2020-02-10,2021-02-09,0.0000,#N/A,#N/A,10000000.0000,0.9042125239,#N/A,1.0000000000,#N/A,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap,Swap,6,0,2022-02-09,Interest,#N/A,EUR,0.0210000000,1.0138888889,2021-02-09,2022-02-09,0.0000,#N/A,#N/A,10000000.0000,0.8862439449,#N/A,1.0000000000,#N/A,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap,Swap,7,0,2023-02-09,Interest,#N/A,EUR,0.0210000000,1.0138888889,2022-02-09,2023-02-09,0.0000,#N/A,#N/A,10000000.0000,0.8686324389,#N/A,1.0000000000,#N/A,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap,Swap,8,0,2024-02-09,Interest,#N/A,EUR,0.0210000000,1.0138888889,2023-02-09,2024-02-09,0.0000,#N/A,#N/A,10000000.0000,0.8513709101,#N/A,1.0000000000,#N/A,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap,Swap,9,0,2025-02-10,Interest,#N/A,EUR,0.0210000000,1.0194444444,2024-02-09,2025-02-10,0.0000,#N/A,#N/A,10000000.0000,0.8343606318,#N/A,1.0000000000,#N/A,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap,Swap,10,0,2026-02-09,Interest,#N/A,EUR,0.0210000000,1.0111111111,2025-02-10,2026-02-09,0.0000,#N/A,#N/A,10000000.0000,0.8178251277,#N/A,1.0000000000,#N/A,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap,Swap,11,0,2027-02-09,Interest,#N/A,EUR,0.0210000000,1.0138888889,2026-02-09,2027-02-09,0.0000,#N/A,#N/A,10000000.0000,0.8015732456,#N/A,1.0000000000,#N/A,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
