#Key,Total,Count,Max,Min,Average
PRICING|Run PRICINGAnalytic,15840000,1,15840000,15840000,15840000.00
PRICING|buildMarket(),0,1,0,0,0.00
PRICING|buildPortfolio(),1960000,1,1960000,1960000,1960000.00
SACCR|Run SACCRAnalytic,15710000,1,15710000,15710000,15710000.00
SACCR|buildMarket(),0,1,0,0,0.00
SACCR|buildPortfolio(),1970000,1,1970000,1970000,1970000.00
SA_CVA|Run SA_CVAAnalytic,0,1,0,0,0.00
SA_CVA|SENSI|Run XVA_SENSITIVITYAnalytic,0,1,0,0,0.00
XVA|Run XVAAnalytic,2060000,1,2060000,2060000,2060000.00
XVA|buildMarket(),0,1,0,0,0.00
XVA_SENSITIVITY|Run XVA_SENSITIVITYAnalytic,0,1,0,0,0.00
