#TradeID,PortfolioID,ProductClass,RiskType,Qualifier,Bucket,Label1,Label2,AmountCurrency,Amount,AmountUSD,IMModel,TradeType,end_date
CPTY_A,CPTY_A,,PV,,,,,EUR,47305481.29,47305481.29,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,,CASH,EUR,75000.00,75000.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,,CASH,EUR,1000000.00,1000000.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,,,,0.00,0.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,0,,,0.00,0.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,Pay,,,0.00,0.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,Receive,,,0.00,0.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,Pay,,,0.00,0.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,Receive,,,0.00,0.00,,SA-CCR,
ComAsian_GOLD_Monthly_Long_USD,no_csa,Other,PV,,,,,USD,1365734.00,1365734.00,,CommodityAsianArithmeticCG,
ComAsian_GOLD_Monthly_Long_USD,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
ComAsian_WTI_Monthly_EUR,no_csa,Other,PV,,,,,EUR,1213.48,1213.48,,CommodityAsianArithmeticCG,
ComAsian_WTI_Monthly_EUR,no_csa,Other,PV,,,0.000000,0.000000,EUR,0.00,0.00,Schedule,SA-CCR,0.000000
ComAsian_WTI_Monthly_Long_EUR,no_csa,Other,PV,,,,,EUR,53009.74,53009.74,,CommodityAsianArithmeticCG,
ComAsian_WTI_Monthly_Long_EUR,no_csa,Other,PV,,,0.000000,0.000000,EUR,0.00,0.00,Schedule,SA-CCR,0.000000
ComBarrier_WTI_UpIn_EUR,no_csa,Other,PV,,,,,EUR,2721.70,2721.70,,CommodityBarrierOptionCG,
ComBarrier_WTI_UpIn_EUR,no_csa,Other,PV,,,0.000000,0.000000,EUR,0.00,0.00,Schedule,SA-CCR,0.000000
ComBerm_WTI_QuantoEUR,no_csa,Other,PV,,,,,EUR,19570.31,19570.31,,CommodityBermudanVanillaCG,
ComBerm_WTI_QuantoEUR,no_csa,Other,PV,,,0.000000,0.000000,EUR,0.00,0.00,Schedule,SA-CCR,0.000000
ComDigital_WTI_Call_EUR,no_csa,Other,PV,,,,,EUR,58378.71,58378.71,,CommodityDigitalCG,
ComDigital_WTI_Call_EUR,no_csa,Other,PV,,,0.000000,0.000000,EUR,0.00,0.00,Schedule,SA-CCR,0.000000
ComFwd_GOLD_USD,no_csa,Other,PV,,,,,USD,-414821.67,-414821.67,,CommodityForward,
ComFwd_GOLD_USD,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
ComFwd_GOLD_USD_Long2024,no_csa,Other,PV,,,,,USD,1344178.87,1344178.87,,CommodityForward,
ComFwd_GOLD_USD_Long2024,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
ComFwd_WTI_QuantoEUR,no_csa,Other,PV,,,,,EUR,-20908.54,-20908.54,,CommodityForward,
ComFwd_WTI_QuantoEUR,no_csa,Other,PV,,,0.000000,0.000000,EUR,0.00,0.00,Schedule,SA-CCR,0.000000
ComFwd_WTI_QuantoEUR_10Y,no_csa,Other,PV,,,,,EUR,6640.21,6640.21,,CommodityForward,
ComFwd_WTI_QuantoEUR_10Y,no_csa,Other,PV,,,0.000000,0.000000,EUR,0.00,0.00,Schedule,SA-CCR,0.000000
ComFwd_WTI_QuantoEUR_5Y,no_csa,Other,PV,,,,,EUR,-18387.86,-18387.86,,CommodityForward,
ComFwd_WTI_QuantoEUR_5Y,no_csa,Other,PV,,,0.000000,0.000000,EUR,0.00,0.00,Schedule,SA-CCR,0.000000
