#TradeId,TradeType,NumberOfPricings,CumulativeTiming,AverageTiming
ComAsian_GOLD_Monthly_Long_USD,ScriptedTrade,1,150000,150000
ComAsian_WTI_Monthly_EUR,ScriptedTrade,1,60000,60000
ComAsian_WTI_Monthly_Long_EUR,ScriptedTrade,1,260000,260000
ComBarrier_WTI_UpIn_EUR,ScriptedTrade,1,60000,60000
ComBerm_WTI_QuantoEUR,ScriptedTrade,1,60000,60000
ComDigital_WTI_Call_EUR,ScriptedTrade,1,60000,60000
ComFwd_GOLD_USD,ScriptedTrade,1,30000,30000
ComFwd_GOLD_USD_Long2024,ScriptedTrade,1,130000,130000
ComFwd_WTI_QuantoEUR,ScriptedTrade,1,60000,60000
ComFwd_WTI_QuantoEUR_10Y,ScriptedTrade,1,280000,280000
ComFwd_WTI_QuantoEUR_5Y,ScriptedTrade,1,150000,150000
ComFwd_WTI_QuantoEUR_Long2024,ScriptedTrade,1,250000,250000
EqAmer_SP5_Weekly,ScriptedTrade,1,90000,90000
EqAsianBasket_Domestic,ScriptedTrade,1,40000,40000
EqAsianBasket_Quanto,ScriptedTrade,1,60000,60000
EqBarrier_UO_SP5,ScriptedTrade,1,30000,30000
EqBerm_SP5_Monthly,ScriptedTrade,1,40000,40000
EqCall_SP5,ScriptedTrade,1,30000,30000
EqDigital_SP5,ScriptedTrade,1,30000,30000
EqFwd_HSCEI,ScriptedTrade,1,40000,40000
EqFwd_SP5,ScriptedTrade,1,30000,30000
EqFwd_SPX,ScriptedTrade,1,40000,40000
EqFwd_SX5E,ScriptedTrade,1,40000,40000
EqPut_SP5,ScriptedTrade,1,30000,30000
