#Date,EPE,ENE
2016-02-05,13276056.1684,0.0000
2016-02-08,13284192.7503,8136.6944
2016-02-09,13277315.7616,1260.1472
2016-02-10,13277219.3866,1164.7147
2016-02-11,13287366.7810,11310.7028
2016-02-12,13297223.5887,21167.0096
2016-02-16,13301519.6149,25462.4135
2016-02-17,13303095.3374,27035.2812
2016-02-18,13311010.2527,34950.7250
2016-02-19,13320949.7012,44891.1825
2016-02-22,13338812.8279,62758.6493
2016-02-23,13342883.2003,66828.0955
2016-02-24,13362804.2565,86747.7476
2016-02-25,13384255.2539,108199.9997
2016-02-26,13385054.1970,108997.3119
2016-02-29,13399754.3972,123699.6357
2016-03-01,13409695.9384,133637.9972
2016-03-02,13426404.5318,150347.0693
2016-03-03,13436283.3259,160225.3770
2016-03-04,13445296.5700,169239.5487
2016-03-07,13502045.5071,225988.1525
2016-03-08,13516381.8389,240324.0836
2016-03-09,13533135.9715,257079.6216
2016-03-10,13546032.4804,269976.4923
2016-03-11,13572640.1130,296583.4233
