#datumDate,datumId,datumValue
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/10Y,-0.0012390000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/12Y,-0.0012560000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/15Y,-0.0011990000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/20Y,-0.0012450000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/25Y,-0.0012190000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/2Y,-0.0015190000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/30Y,-0.0011930000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/3Y,-0.0013520000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/4Y,-0.0012940000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/5Y,-0.0012250000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/6Y,-0.0012390000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/7Y,-0.0010970000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/8Y,-0.0011200000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/9Y,-0.0012410000
2016-02-05,CDS/CREDIT_SPREAD/BANK/SR/USD/1Y,0.0100000000
2016-02-05,CDS/CREDIT_SPREAD/BANK/SR/USD/5Y,0.0100000000
2016-02-05,CDS/CREDIT_SPREAD/BANK/SR/USD/6M,0.0100000000
2016-02-05,COMMODITY/PRICE/WTI/USD,30.8900000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2016-03-31,30.8900000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2016-04-30,32.7200000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2016-05-31,34.4700000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2016-06-30,35.9400000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2016-07-31,37.1000000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2016-08-31,37.9900000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2016-09-30,38.6900000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2016-10-31,39.2900000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2016-11-30,39.8300000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2016-12-31,40.3400000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2017-01-31,40.7900000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2017-02-28,41.2300000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2017-03-31,41.6500000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2017-04-30,42.0300000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2017-05-31,42.3700000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2017-06-30,42.6700000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2017-07-31,42.9200000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2017-08-31,43.1600000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2017-09-30,43.4100000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2017-10-31,43.6500000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2017-11-30,43.9000000000
