#Key,Total,Count,Max,Min,Average
PRICING|Run PRICINGAnalytic,50000,1,50000,50000,50000.00
PRICING|buildMarket(),0,1,0,0,0.00
PRICING|buildPortfolio(),20000,1,20000,20000,20000.00
SACCR|Run SACCRAnalytic,30000,1,30000,30000,30000.00
SACCR|buildMarket(),0,1,0,0,0.00
SACCR|buildPortfolio(),20000,1,20000,20000,20000.00
SA_CVA|Run SA_CVAAnalytic,0,1,0,0,0.00
SA_CVA|SENSI|Run XVA_SENSITIVITYAnalytic,0,1,0,0,0.00
XVA|Run XVAAnalytic,1900000,1,1900000,1900000,1900000.00
XVA|buildMarket(),10000,1,10000,10000,10000.00
XVA_SENSITIVITY|Run XVA_SENSITIVITYAnalytic,0,1,0,0,0.00
