#TradeID,PortfolioID,ProductClass,RiskType,Qualifier,Bucket,Label1,Label2,AmountCurrency,Amount,AmountUSD,IMModel,TradeType,end_date
CPTY_A,CPTY_A,,PV,,,,,EUR,1366996.87,1366996.87,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,,CASH,EUR,75000.00,75000.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,,CASH,EUR,1000000.00,1000000.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,,,,0.00,0.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,0,,,0.00,0.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,Pay,,,0.00,0.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,Receive,,,0.00,0.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,Pay,,,0.00,0.00,,SA-CCR,
CPTY_A,CPTY_A,,Collateral,,,Receive,,,0.00,0.00,,SA-CCR,
ComFwd_WTI_QuantoEUR_5Y,no_csa,Other,PV,,,,,USD,-6798.11,-6798.11,,CommodityForward,
ComFwd_WTI_QuantoEUR_5Y,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
EqCall_SP5_FD,no_csa,Other,PV,,,,,USD,1373794.98,1373794.98,,EquityOption,
EqCall_SP5_FD,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
