#NettingSetId,RiskType,MarginType,Bucket,Analytic,Value
,All,All,All,SA_CVA_CAPITAL,943840.4422
CPTY_A,All,All,All,SA_CVA_CAPITAL,943840.4422
,InterestRate,Delta,All,SA_CVA_CAPITAL,1075.5273
,InterestRate,Delta,USD,SA_CVA_CAPITAL,1075.5273
,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,221112.2751
,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,221112.2751
,Equity,Delta,11,SA_CVA_CAPITAL,721281.9840
,Equity,Delta,All,SA_CVA_CAPITAL,721281.9840
,Commodity,Delta,1,SA_CVA_CAPITAL,370.6559
,Commodity,Delta,All,SA_CVA_CAPITAL,370.6559
CPTY_A,InterestRate,Delta,All,SA_CVA_CAPITAL,1075.5273
CPTY_A,InterestRate,Delta,USD,SA_CVA_CAPITAL,1075.5273
CPTY_A,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,221112.2751
CPTY_A,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,221112.2751
CPTY_A,Equity,Delta,11,SA_CVA_CAPITAL,721281.9840
CPTY_A,Equity,Delta,All,SA_CVA_CAPITAL,721281.9840
CPTY_A,Commodity,Delta,1,SA_CVA_CAPITAL,370.6559
CPTY_A,Commodity,Delta,All,SA_CVA_CAPITAL,370.6559
