#NettingSetId,RiskType,Bucket,MarginType,RiskFactor,CvaType,Sensitivity,RiskWeight
,InterestRate,USD,Delta,1Y,CvaAggregate,-66890.9709,0.0111
,InterestRate,USD,Delta,1Y,CvaHedge,0.0000,0.0111
,InterestRate,USD,Delta,5Y,CvaAggregate,-55333.9869,0.0074
,InterestRate,USD,Delta,5Y,CvaHedge,0.0000,0.0074
,ForeignExchange,USD,Delta,FXSpot,CvaAggregate,68334.5584,0.1100
,ForeignExchange,USD,Delta,FXSpot,CvaHedge,68334.5584,0.1100
,CreditCounterparty,2,Delta,BANK/1Y,CvaAggregate,-187069.4326,0.0500
,CreditCounterparty,2,Delta,BANK/1Y,CvaHedge,0.0000,0.0500
,CreditCounterparty,2,Delta,BANK/5Y,CvaAggregate,4589856.1554,0.0500
,CreditCounterparty,2,Delta,BANK/5Y,CvaHedge,0.0000,0.0500
,Equity,11,Delta,SP5,CvaAggregate,-1030402.8343,0.7000
,Equity,11,Delta,SP5,CvaHedge,0.0000,0.7000
,Commodity,1,Delta,COMDTY_WTI_USD,CvaAggregate,1235.5195,0.3000
,Commodity,1,Delta,COMDTY_WTI_USD,CvaHedge,0.0000,0.3000
CPTY_A,InterestRate,USD,Delta,1Y,CvaAggregate,-66890.9709,0.0111
CPTY_A,InterestRate,USD,Delta,1Y,CvaHedge,0.0000,0.0111
CPTY_A,InterestRate,USD,Delta,5Y,CvaAggregate,-55333.9869,0.0074
CPTY_A,InterestRate,USD,Delta,5Y,CvaHedge,0.0000,0.0074
CPTY_A,ForeignExchange,USD,Delta,FXSpot,CvaAggregate,68334.5584,0.1100
CPTY_A,ForeignExchange,USD,Delta,FXSpot,CvaHedge,68334.5584,0.1100
CPTY_A,CreditCounterparty,2,Delta,BANK/1Y,CvaAggregate,-187069.4326,0.0500
CPTY_A,CreditCounterparty,2,Delta,BANK/1Y,CvaHedge,0.0000,0.0500
CPTY_A,CreditCounterparty,2,Delta,BANK/5Y,CvaAggregate,4589856.1554,0.0500
CPTY_A,CreditCounterparty,2,Delta,BANK/5Y,CvaHedge,0.0000,0.0500
CPTY_A,Equity,11,Delta,SP5,CvaAggregate,-1030402.8343,0.7000
CPTY_A,Equity,11,Delta,SP5,CvaHedge,0.0000,0.7000
CPTY_A,Commodity,1,Delta,COMDTY_WTI_USD,CvaAggregate,1235.5195,0.3000
CPTY_A,Commodity,1,Delta,COMDTY_WTI_USD,CvaHedge,0.0000,0.3000
