#Date,EPE,ENE
2016-02-05,808403.9280,0.0000
2016-03-07,808403.9280,0.0000
2016-04-05,808403.9280,0.0000
2016-05-06,808403.9280,0.0000
2016-06-06,808403.9280,0.0000
2016-07-05,808403.9280,0.0000
2016-08-05,808403.9280,0.0000
2016-09-06,808403.9280,0.0000
2016-10-05,808403.9280,0.0000
2016-11-07,808403.9280,0.0000
2016-12-05,808403.9280,0.0000
2017-01-05,808403.9280,0.0000
2017-02-06,808403.9280,0.0000
2017-03-06,808403.9280,0.0000
2017-04-05,808403.9280,0.0000
2017-05-05,1055201.6993,246798.0529
2017-06-06,808403.9280,0.0000
2017-07-05,1032689.5582,224285.1063
2017-08-07,808403.9280,0.0000
2017-09-05,1030792.8156,222388.1710
2017-10-05,808403.9280,0.0000
2017-11-06,808403.9280,0.0000
2017-12-05,1039480.6013,231076.1202
2018-01-05,1043031.2733,234627.2232
2018-02-05,1057157.5402,248753.4764
2018-03-05,808403.9280,0.0000
2018-04-05,1043274.9439,234870.5703
2018-05-08,1032091.8189,223687.4799
2018-06-05,808403.9280,0.0000
2018-07-05,1047965.7423,239561.2858
2018-08-06,1048881.0368,240476.3935
2018-09-05,808403.9280,0.0000
2018-10-05,1055979.4453,247575.0512
2018-11-05,808403.9280,0.0000
2018-12-05,1069411.3695,261007.4995
2019-01-07,1027554.3354,219150.2756
2019-02-05,1029156.5803,220752.5984
2019-03-05,1017736.3730,209332.3143
2019-04-05,1018724.3980,210320.2381
2019-05-07,1022188.2938,213784.1868
2019-06-05,808403.9280,0.0000
2019-07-05,1019079.1761,210675.1752
2019-08-05,1016375.7838,207971.8035
2019-09-05,1046894.3705,238490.5080
2019-10-07,1072367.3003,263963.3347
2019-11-05,1152917.1836,344513.3199
2019-12-05,1156431.3133,348027.5329
2020-01-06,1118632.2773,310228.5378
2020-02-05,1154355.5968,345952.0322
2020-03-05,1109794.8660,301391.3011
2020-04-06,1108293.2980,299889.7089
2020-05-05,1082829.3869,274425.6811
2020-06-05,1072243.6342,263840.0882
2020-07-06,1060060.2719,251656.8894
2020-08-05,1071171.2393,262767.6048
2020-09-08,1096085.4146,287681.5285
2020-10-05,1074481.8126,266077.6055
2020-11-05,1065898.8842,257494.5668
2020-12-07,1072155.8800,263751.8586
2021-01-05,1073492.6502,265088.6950
2021-02-05,1065864.2488,257460.0837
