#NettingSetId,RiskType,MarginType,Bucket,Analytic,Value
,All,All,All,SA_CVA_CAPITAL,258634.8204
CPTY_A,All,All,All,SA_CVA_CAPITAL,258634.8204
,InterestRate,Delta,All,SA_CVA_CAPITAL,6617.8140
,InterestRate,Delta,USD,SA_CVA_CAPITAL,6617.8140
,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,251500.9479
,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,251500.9479
,Equity,Delta,11,SA_CVA_CAPITAL,159.1697
,Equity,Delta,All,SA_CVA_CAPITAL,159.1697
,Commodity,Delta,1,SA_CVA_CAPITAL,356.8888
,Commodity,Delta,All,SA_CVA_CAPITAL,356.8888
CPTY_A,InterestRate,Delta,All,SA_CVA_CAPITAL,6617.8140
CPTY_A,InterestRate,Delta,USD,SA_CVA_CAPITAL,6617.8140
CPTY_A,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,251500.9479
CPTY_A,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,251500.9479
CPTY_A,Equity,Delta,11,SA_CVA_CAPITAL,159.1697
CPTY_A,Equity,Delta,All,SA_CVA_CAPITAL,159.1697
CPTY_A,Commodity,Delta,1,SA_CVA_CAPITAL,356.8888
CPTY_A,Commodity,Delta,All,SA_CVA_CAPITAL,356.8888
