#NettingSet,RiskType,CvaType,MarginType,RiskFactor,Bucket,FxOrientation,Value
,InterestRate,CvaAggregate,Delta,1Y,USD,EURUSD,300650.2440
,InterestRate,CvaAggregate,Delta,5Y,USD,EURUSD,513046.9904
,CreditCounterparty,CvaAggregate,Delta,BANK/1Y,2,EURUSD,-127987.8125
,CreditCounterparty,CvaAggregate,Delta,BANK/5Y,2,EURUSD,5176578.5298
,CreditCounterparty,CvaAggregate,Delta,BANK/6M,2,EURUSD,-35315.9645
,Equity,CvaAggregate,Delta,SP5,11,EURUSD,227.3854
,Commodity,CvaAggregate,Delta,COMDTY_WTI_USD,1,EURUSD,1189.6294
CPTY_A,InterestRate,CvaAggregate,Delta,1Y,USD,EURUSD,300650.2440
CPTY_A,InterestRate,CvaAggregate,Delta,5Y,USD,EURUSD,513046.9904
CPTY_A,CreditCounterparty,CvaAggregate,Delta,BANK/1Y,2,EURUSD,-127987.8125
CPTY_A,CreditCounterparty,CvaAggregate,Delta,BANK/5Y,2,EURUSD,5176578.5298
CPTY_A,CreditCounterparty,CvaAggregate,Delta,BANK/6M,2,EURUSD,-35315.9645
CPTY_A,Equity,CvaAggregate,Delta,SP5,11,EURUSD,227.3854
CPTY_A,Commodity,CvaAggregate,Delta,COMDTY_WTI_USD,1,EURUSD,1189.6294
