#NettingSetId,RiskType,Bucket,MarginType,RiskFactor,CvaType,Sensitivity,RiskWeight
,InterestRate,USD,Delta,1Y,CvaAggregate,300650.2440,0.0111
,InterestRate,USD,Delta,1Y,CvaHedge,0.0000,0.0111
,InterestRate,USD,Delta,5Y,CvaAggregate,513046.9904,0.0074
,InterestRate,USD,Delta,5Y,CvaHedge,0.0000,0.0074
,CreditCounterparty,2,Delta,BANK/1Y,CvaAggregate,-127987.8125,0.0500
,CreditCounterparty,2,Delta,BANK/1Y,CvaHedge,0.0000,0.0500
,CreditCounterparty,2,Delta,BANK/5Y,CvaAggregate,5176578.5298,0.0500
,CreditCounterparty,2,Delta,BANK/5Y,CvaHedge,0.0000,0.0500
,CreditCounterparty,2,Delta,BANK/6M,CvaAggregate,-35315.9645,0.0500
,CreditCounterparty,2,Delta,BANK/6M,CvaHedge,0.0000,0.0500
,Equity,11,Delta,SP5,CvaAggregate,227.3854,0.7000
,Equity,11,Delta,SP5,CvaHedge,0.0000,0.7000
,Commodity,1,Delta,COMDTY_WTI_USD,CvaAggregate,1189.6294,0.3000
,Commodity,1,Delta,COMDTY_WTI_USD,CvaHedge,0.0000,0.3000
CPTY_A,InterestRate,USD,Delta,1Y,CvaAggregate,300650.2440,0.0111
CPTY_A,InterestRate,USD,Delta,1Y,CvaHedge,0.0000,0.0111
CPTY_A,InterestRate,USD,Delta,5Y,CvaAggregate,513046.9904,0.0074
CPTY_A,InterestRate,USD,Delta,5Y,CvaHedge,0.0000,0.0074
CPTY_A,CreditCounterparty,2,Delta,BANK/1Y,CvaAggregate,-127987.8125,0.0500
CPTY_A,CreditCounterparty,2,Delta,BANK/1Y,CvaHedge,0.0000,0.0500
CPTY_A,CreditCounterparty,2,Delta,BANK/5Y,CvaAggregate,5176578.5298,0.0500
CPTY_A,CreditCounterparty,2,Delta,BANK/5Y,CvaHedge,0.0000,0.0500
CPTY_A,CreditCounterparty,2,Delta,BANK/6M,CvaAggregate,-35315.9645,0.0500
CPTY_A,CreditCounterparty,2,Delta,BANK/6M,CvaHedge,0.0000,0.0500
CPTY_A,Equity,11,Delta,SP5,CvaAggregate,227.3854,0.7000
CPTY_A,Equity,11,Delta,SP5,CvaHedge,0.0000,0.7000
CPTY_A,Commodity,1,Delta,COMDTY_WTI_USD,CvaAggregate,1189.6294,0.3000
CPTY_A,Commodity,1,Delta,COMDTY_WTI_USD,CvaHedge,0.0000,0.3000
