#Date,EPE,ENE
2016-02-05,836357.2191,0.0000
2016-03-07,915145.4889,78787.7609
2016-04-05,977277.7382,140920.1363
2016-05-06,941440.0245,105082.1760
2016-06-06,924618.0678,88261.2391
2016-07-05,951703.7706,115346.7918
2016-08-05,956989.9376,120632.9816
2016-09-06,985135.3599,148778.3351
2016-10-05,1009082.0643,172724.9616
2016-11-07,987886.7395,151529.1938
2016-12-05,1011795.0366,175437.9854
2017-01-05,1023506.5039,187149.1954
2017-02-06,1061142.1118,224784.8754
2017-03-06,1069865.9565,233508.4502
2017-04-05,1101047.7250,264689.8091
2017-05-05,1087207.5757,250849.7724
2017-06-06,1094589.6468,258231.7379
2017-07-05,1072137.7998,235780.5389
2017-08-07,1091428.3237,255071.1916
2017-09-05,1109966.5858,273609.3147
2017-10-05,1182333.7356,345976.3436
2017-11-06,1199272.0578,362914.5253
2017-12-05,1172923.5635,336566.1638
2018-01-05,1125144.5808,288787.1817
2018-02-05,1124579.2794,288221.9754
2018-03-05,1129330.0720,292972.7963
2018-04-05,1186615.5709,350258.2501
2018-05-08,1254295.7660,417938.4239
2018-06-05,1194521.4087,358164.0961
2018-07-05,1134566.2102,298208.9501
2018-08-06,1139939.2725,303581.9683
2018-09-05,1119062.2367,282705.0081
2018-10-05,1117509.6308,281152.3894
2018-11-05,1133747.2047,297389.9750
2018-12-05,1128763.3259,292406.1312
2019-01-07,1096544.6115,260187.4099
2019-02-05,1097239.6101,260882.3830
2019-03-05,1090061.6352,253704.4139
2019-04-05,1091015.7735,254658.5435
2019-05-07,1079584.1287,243226.9455
2019-06-05,1070091.7852,233734.5612
2019-07-05,1077128.3015,240771.0539
2019-08-05,1083972.7388,247615.4912
2019-09-05,1117804.3951,281447.1780
2019-10-07,1135986.5793,299629.3334
2019-11-05,1234711.1854,398353.9200
2019-12-05,1220065.7722,383708.5145
2020-01-06,1154074.3373,317717.1310
2020-02-05,1151107.7812,314750.5700
2020-03-05,1124109.0698,287751.8638
2020-04-06,1127884.9282,291527.7272
2020-05-05,1117967.6269,281610.4246
2020-06-05,1111097.2569,274740.0289
2020-07-06,1114010.1782,277652.9636
2020-08-05,1123048.1880,286690.9693
2020-09-08,1135706.7112,299349.4973
2020-10-05,1114000.0866,277642.8798
2020-11-05,1110746.7446,274389.5465
2020-12-07,1116416.6383,280059.4234
2021-01-05,1116856.2765,280499.0725
2021-02-05,1113253.4892,276896.2748
