#NettingSet,RiskFactor,ShiftType,ShiftSize,Currency,BaseCva,Delta
CPTY_A,InterestRate/Delta/EUR/1Y,Absolute,0.000100,EUR,13961.07,0.8879
CPTY_A,InterestRate/Delta/EUR/5Y,Absolute,0.000100,EUR,13961.07,4.3228
CPTY_A,InterestRate/Delta/USD/1Y,Absolute,0.000100,EUR,13961.07,-1.1000
CPTY_A,InterestRate/Delta/USD/5Y,Absolute,0.000100,EUR,13961.07,-1.9989
CPTY_A,ForeignExchange/Delta/EURUSD/0D,Relative,0.010000,EUR,13961.07,-138.2284
CPTY_A,ForeignExchange/Delta/USDEUR/0D,Relative,0.010000,EUR,13961.07,139.6106
CPTY_A,Equity/Delta/SP5/0D,Relative,0.010000,EUR,13961.07,812.4881
CPTY_A,Equity/Vega/SP5/0D,Relative,0.010000,EUR,13961.07,113.1238
CPTY_A,Equity/Vega/SP5/0D,Relative,0.010000,EUR,13961.07,67.5378
CPTY_A,Equity/Vega/SP5/0D,Relative,0.010000,EUR,13961.07,10.9235
CPTY_A,CreditCounterparty/Delta/CPTY_A/1Y,Absolute,0.000100,EUR,13961.07,87.6870
CPTY_A,CreditCounterparty/Delta/CPTY_A/5Y,Absolute,0.000100,EUR,13961.07,145.4886
CPTY_A,Commodity/Delta/COMDTY_WTI_USD/1Y,Relative,0.010000,EUR,13961.07,154.5474
CPTY_A,Commodity/Vega/COMDTY_WTI_USD/0D,Relative,0.010000,EUR,13961.07,4.4378
CPTY_A,Commodity/Vega/COMDTY_WTI_USD/0D,Relative,0.010000,EUR,13961.07,0.7677
CPTY_A,Commodity/Vega/COMDTY_WTI_USD/0D,Relative,0.010000,EUR,13961.07,0.1633
