#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-02-05,0.000000,1226012.00,0.00,1226011.95,1226011.95,1226011.95,1226011.95,1226011.95,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-03-07,0.084699,1112851.13,0.00,1871716.49,0.00,1112685.94,1226011.95,1112685.94,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-04-05,0.163934,1130775.25,0.00,2292545.37,0.00,1130393.62,1226011.95,1121244.65,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-05-06,0.248634,1153555.25,0.00,2572454.44,0.00,1152889.04,1226011.95,1132024.61,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-06-06,0.333333,1172129.00,0.00,2829361.15,0.00,1171168.73,1226011.95,1141971.07,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-07-05,0.412568,1188483.63,0.00,3299741.43,0.00,1187166.42,1226011.95,1150650.97,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-08-05,0.497268,1205858.13,22.55,3445926.74,0.00,1204293.15,1226011.95,1159787.82,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-09-06,0.584699,1210368.75,129.73,3708163.53,0.00,1208381.06,1226011.95,1167054.10,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-10-05,0.663934,1209601.00,271.15,4053905.44,0.00,1207306.99,1226011.95,1171857.95,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-11-07,0.754098,1209967.63,636.88,4345617.36,0.00,1207155.23,1226011.95,1176078.27,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-12-05,0.830601,1202738.50,828.41,4433517.08,0.00,1199601.17,1226011.95,1178244.86,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-01-05,0.915330,1202141.88,1279.19,4704608.99,0.00,1198650.89,1226011.95,1180133.78,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-02-06,1.003002,1195818.00,2128.81,5026819.54,0.00,1192016.80,1226011.95,1181172.46,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-03-06,1.079714,1195788.25,2641.53,5145721.43,0.00,1191619.87,1226011.95,1181914.74,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-04-05,1.161906,1194183.38,3410.39,5092860.38,0.00,1189616.61,1226011.95,1182459.56,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-05-05,1.244098,1203877.88,4076.34,5288264.29,0.00,1198866.96,1226011.95,1183543.52,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-06-06,1.331769,1202440.00,5009.68,5530528.12,0.00,1197066.00,1226011.95,1184433.71,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-07-05,1.411221,1198344.38,5931.79,5578279.76,0.00,1192663.81,1226011.95,1184897.07,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-08-07,1.501632,1191854.13,7009.82,5646475.77,0.00,1185836.59,1226011.95,1184953.64,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-09-05,1.581084,1179598.50,7859.01,5748554.29,0.00,1173309.51,1226011.95,1184368.50,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-10-05,1.663276,1176647.63,9253.22,5861878.22,0.00,1170029.31,1226011.95,1183659.92,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-11-06,1.750947,1166220.75,10234.17,6344539.00,0.00,1159296.47,1226011.95,1182440.03,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-12-05,1.830399,1169850.38,11387.75,6418042.77,0.00,1162514.21,1226011.95,1181575.11,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-01-05,1.915330,1166725.50,13184.54,6371000.12,0.00,1158985.59,1226011.95,1180573.42,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-02-05,2.000262,12060.75,25839.26,64873.74,0.00,11976.36,1226011.95,1130954.56,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-03-05,2.076974,12669.95,26813.63,67194.12,0.00,12578.73,1226011.95,1089647.74,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-04-05,2.161906,13374.52,27370.48,71151.20,0.00,13275.55,1226011.95,1047361.94,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-05-08,2.252317,14114.97,27961.71,73627.02,0.00,14007.49,1226011.95,1005881.74,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-06-05,2.329029,15181.63,28618.62,77445.62,0.00,15063.27,1226011.95,973246.68,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-07-05,2.411221,16127.09,29181.84,77275.24,0.00,15998.21,1226011.95,940616.76,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-08-06,2.498892,16792.30,30221.56,82748.83,0.00,16654.62,1226011.95,908200.43,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-09-05,2.581084,17139.38,30661.83,87310.31,0.00,16995.52,1226011.95,879820.99,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-10-05,2.663276,18035.49,31178.72,88196.27,0.00,17880.61,1226011.95,853220.51,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-11-05,2.748207,19179.46,31554.72,94002.88,0.00,19010.89,1226011.95,827439.82,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-12-05,2.830399,20550.96,31792.30,92764.78,0.00,20366.34,1226011.95,804003.26,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-01-07,2.920810,21713.69,31717.12,99115.73,0.00,21513.98,1226011.95,779782.03,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-02-05,3.000262,22279.39,32477.08,100848.58,0.00,22070.29,1226011.95,759716.53,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-03-05,3.076974,22964.69,33144.20,105660.03,0.00,22747.37,1226011.95,741343.09,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-04-05,3.161906,23530.07,33813.75,102666.63,0.00,23306.11,1226011.95,722056.00,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-05-07,3.249577,24664.65,34472.23,122883.55,0.00,24428.49,1226011.95,703234.51,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-06-05,3.329029,25497.96,34931.40,118077.75,0.00,25252.51,1226011.95,687053.50,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-07-05,3.411221,26350.63,35059.02,137789.92,0.00,26095.57,1226011.95,671128.03,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-08-05,3.496152,27202.74,36219.28,145164.95,0.00,26937.94,1226011.95,655478.81,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-09-05,3.581084,27974.88,36994.43,136863.97,0.00,27701.03,1226011.95,640589.99,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-10-07,3.668755,29526.42,37943.69,150780.70,0.00,29235.71,1226011.95,625980.63,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-11-05,3.748207,30219.92,38092.13,149377.86,0.00,29920.82,1226011.95,613345.74,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-12-05,3.830399,31307.45,38044.02,145241.30,0.00,30995.93,1226011.95,600849.82,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-01-06,3.918033,32098.11,37725.19,155970.91,0.00,31776.90,1226011.95,588121.49,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-02-05,4.000000,32144.36,38243.57,152112.11,0.00,31820.98,1226011.95,576721.89,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-03-05,4.079235,32376.58,37544.97,157987.92,0.00,32053.01,1226011.95,566142.25,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-04-06,4.166667,33387.39,37408.92,161536.05,0.00,33057.30,1226011.95,554956.20,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-05-05,4.245902,34660.51,37164.63,162748.19,0.00,34321.20,1226011.95,545240.36,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-06-05,4.330601,35931.65,36453.91,159804.86,0.00,35583.62,1226011.95,535272.31,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-07-06,4.415301,37240.46,35863.05,168835.58,0.00,36883.63,1226011.95,525711.64,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-08-05,4.497268,37586.95,36210.58,169731.84,0.00,37230.57,1226011.95,516808.58,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-09-08,4.590164,37418.59,35477.42,157787.78,0.00,37068.06,1226011.95,507099.55,1226011.95
