#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2016-02-05,0.000000,0,6085,0,0,0,0,0,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2016-03-07,0.084699,36,7881,0,0,0,36,36,36.10,36.10
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2016-04-05,0.163934,151,9226,0,0,292,151,151,91.48,91.48
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2016-05-06,0.248634,351,10242,0,0,2508,350,350,179.65,179.65
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2016-06-06,0.333333,702,11081,0,0,5981,701,701,312.22,312.22
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2016-07-05,0.412568,1038,11691,0,0,7508,1037,1037,451.43,451.43
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2016-08-05,0.497268,1183,13672,0,0,8414,1181,1181,575.72,575.72
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2016-09-06,0.584699,1392,15157,0,0,10344,1390,1390,697.51,697.51
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2016-10-05,0.663934,1709,16061,0,0,11879,1705,1705,817.80,817.80
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2016-11-07,0.754098,2286,16766,0,0,15393,2280,2280,992.67,992.67
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2016-12-05,0.830601,2836,16940,0,0,18562,2828,2828,1161.76,1161.76
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-01-05,0.915330,3590,17279,0,0,22387,3579,3579,1385.54,1385.54
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-02-06,1.003002,4040,18361,0,0,24086,4028,4028,1616.48,1616.48
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-03-06,1.079714,4571,19241,0,0,27027,4555,4555,1825.28,1825.28
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-04-05,1.161906,5001,19985,0,0,32043,4982,4982,2048.59,2048.59
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-05-05,1.244098,5675,20775,0,0,31794,5652,5652,2286.62,2286.62
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-06-06,1.331769,6549,21530,0,0,39347,6520,6520,2565.30,2565.30
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-07-05,1.411221,7191,22014,0,0,40843,7157,7157,2823.83,2823.83
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-08-07,1.501632,7767,22800,0,0,42747,7727,7727,3119.07,3119.07
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-09-05,1.581084,8395,23387,0,0,45536,8350,8350,3381.94,3381.94
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-10-05,1.663276,9236,24068,0,0,50179,9184,9184,3668.66,3668.66
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-11-06,1.750947,10084,24566,0,0,55728,10024,10024,3986.87,3986.87
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2017-12-05,1.830399,10816,24818,0,0,61492,10748,10748,4280.35,4280.35
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-01-05,1.915330,11453,24868,0,0,60701,11377,11377,4595.02,4595.02
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-02-05,2.000262,12061,25839,0,0,64874,11976,11976,4908.43,4908.43
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-03-05,2.076974,12670,26814,0,0,67194,12579,12579,5191.73,5191.73
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-04-05,2.161906,13375,27370,0,0,71151,13276,13276,5509.31,5509.31
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-05-08,2.252317,14115,27962,0,0,73627,14007,14007,5850.44,5850.44
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-06-05,2.329029,15182,28619,0,0,77446,15063,15063,6153.88,6153.88
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-07-05,2.411221,16127,29182,0,0,77275,15998,15998,6489.45,6489.45
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-08-06,2.498892,16792,30222,0,0,82749,16655,16655,6846.08,6846.08
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-09-05,2.581084,17139,30662,0,0,87310,16996,16996,7169.28,7169.28
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-10-05,2.663276,18035,31179,0,0,88196,17881,17881,7499.85,7499.85
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-11-05,2.748207,19179,31555,0,0,94003,19011,19011,7855.59,7855.59
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2018-12-05,2.830399,20551,31792,0,0,92765,20366,20366,8218.89,8218.89
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-01-07,2.920810,21714,31717,0,0,99116,21514,21514,8630.42,8630.42
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-02-05,3.000262,22279,32477,0,0,100849,22070,22070,8986.33,8986.33
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-03-05,3.076974,22965,33144,0,0,105660,22747,22747,9329.41,9329.41
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-04-05,3.161906,23530,33814,0,0,102667,23306,23306,9704.84,9704.84
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-05-07,3.249577,24665,34472,0,0,122884,24428,24428,10102.07,10102.07
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-06-05,3.329029,25498,34931,0,0,118078,25253,25253,10463.66,10463.66
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-07-05,3.411221,26351,35059,0,0,137790,26096,26096,10840.30,10840.30
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-08-05,3.496152,27203,36219,0,0,145165,26938,26938,11231.36,11231.36
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-09-05,3.581084,27975,36994,0,0,136864,27701,27701,11621.97,11621.97
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-10-07,3.668755,29526,37944,0,0,150781,29236,29236,12042.88,12042.88
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-11-05,3.748207,30220,38092,0,0,149378,29921,29921,12421.84,12421.84
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2019-12-05,3.830399,31307,38044,0,0,145241,30996,30996,12820.40,12820.40
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2020-01-06,3.918033,32098,37725,0,0,155971,31777,31777,13244.40,13244.40
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2020-02-05,4.000000,32144,38244,0,0,152112,31821,31821,13625.06,13625.06
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2020-03-05,4.079235,32377,37545,0,0,157988,32053,32053,13983.01,13983.01
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2020-04-06,4.166667,33387,37409,0,0,161536,33057,33057,14383.25,14383.25
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2020-05-05,4.245902,34661,37165,0,0,162748,34321,34321,14755.33,14755.33
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2020-06-05,4.330601,35932,36454,0,0,159805,35584,35584,15162.69,15162.69
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2020-07-06,4.415301,37240,35863,0,0,168836,36884,36884,15579.37,15579.37
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2020-08-05,4.497268,37587,36211,0,0,169732,37231,37231,15973.99,15973.99
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,2020-09-08,4.590164,37419,35477,0,0,157788,37068,37231,16400.89,16404.18
