#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2016-02-05,0.000000,1232097,0,0,0,1232097,1232097,1232097,1232097.13,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2016-03-07,0.084699,1120696,0,0,0,1880075,1120530,1232097,1120529.84,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2016-04-05,0.163934,1139851,0,0,0,2292771,1139466,1232097,1129682.31,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2016-05-06,0.248634,1163447,0,0,0,2578284,1162775,1232097,1140955.59,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2016-06-06,0.333333,1182508,0,0,0,2848832,1181539,1232097,1151267.84,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2016-07-05,0.412568,1199137,0,0,0,3326332,1197808,1232097,1160205.93,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2016-08-05,0.497268,1218325,0,0,0,3458227,1216744,1232097,1169836.00,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2016-09-06,0.584699,1224004,0,0,0,3733297,1221994,1232097,1177635.25,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2016-10-05,0.663934,1223682,0,0,0,4089610,1221361,1232097,1182853.58,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2016-11-07,0.754098,1223811,0,0,0,4347264,1220966,1232097,1187410.56,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2016-12-05,0.830601,1216014,0,0,0,4457868,1212842,1232097,1189752.97,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-01-05,0.915330,1214552,0,0,0,4707145,1211025,1232097,1191722.05,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-02-06,1.003002,1208010,0,0,0,5013258,1204170,1232097,1192810.09,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-03-06,1.079714,1207816,0,0,0,5167145,1203606,1232097,1193577.11,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-04-05,1.161906,1205757,0,0,0,5147550,1201146,1232097,1194112.50,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-05-05,1.244098,1214901,0,0,0,5282207,1209844,1232097,1195151.82,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-06-06,1.331769,1212411,0,0,0,5543893,1206992,1232097,1195931.28,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-07-05,1.411221,1207235,0,0,0,5620019,1201512,1232097,1196245.48,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-08-07,1.501632,1199877,0,0,0,5650516,1193819,1232097,1196099.40,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-09-05,1.581084,1186732,0,0,0,5797558,1180404,1232097,1195310.70,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-10-05,1.663276,1182226,0,0,0,5872425,1175576,1232097,1194335.51,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-11-06,1.750947,1170469,0,0,0,6358729,1163519,1232097,1192792.51,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2017-12-05,1.830399,1172465,0,0,0,6496636,1165113,1232097,1191591.01,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-01-05,1.915330,1166957,0,0,0,6378884,1159215,1232097,1190155.38,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-02-05,2.000262,0,0,0,0,0,0,1232097,1139621.15,1232097.13
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-03-05,2.076974,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-04-05,2.161906,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-05-08,2.252317,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-06-05,2.329029,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-07-05,2.411221,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-08-06,2.498892,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-09-05,2.581084,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-10-05,2.663276,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-11-05,2.748207,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2018-12-05,2.830399,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-01-07,2.920810,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-02-05,3.000262,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-03-05,3.076974,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-04-05,3.161906,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-05-07,3.249577,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-06-05,3.329029,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-07-05,3.411221,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-08-05,3.496152,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-09-05,3.581084,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-10-07,3.668755,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-11-05,3.748207,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2019-12-05,3.830399,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-01-06,3.918033,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-02-05,4.000000,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-03-05,4.079235,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-04-06,4.166667,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-05-05,4.245902,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-06-05,4.330601,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-07-06,4.415301,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-08-05,4.497268,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-09-08,4.590164,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-10-05,4.663934,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-11-05,4.748634,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2020-12-07,4.836066,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2021-01-05,4.915330,0,0,0,0,0,0,1232097,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,2021-02-05,5.000262,0,0,0,0,0,0,1232097,0.00,0.00
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,EqCall_SP5_FD,2016-02-05,0.000000,1232096,0,0,0,1232096,1232096,1232096,1232095.88,1232095.88
