#NettingSetId,RiskType,MarginType,Bucket,Analytic,Value
,All,All,All,SA_CVA_CAPITAL,146471.1651
CPTY_A,All,All,All,SA_CVA_CAPITAL,146471.1651
,InterestRate,Delta,All,SA_CVA_CAPITAL,347.5728
,InterestRate,Delta,EUR,SA_CVA_CAPITAL,396.7917
,InterestRate,Delta,USD,SA_CVA_CAPITAL,250.5889
,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,113819.3336
,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,113819.3336
,Equity,Delta,12,SA_CVA_CAPITAL,12187.3216
,Equity,Delta,All,SA_CVA_CAPITAL,12187.3216
,Equity,Vega,12,SA_CVA_CAPITAL,14943.6414
,Equity,Vega,All,SA_CVA_CAPITAL,14943.6414
,Commodity,Delta,1,SA_CVA_CAPITAL,4636.4209
,Commodity,Delta,All,SA_CVA_CAPITAL,4636.4209
,Commodity,Vega,1,SA_CVA_CAPITAL,536.8747
,Commodity,Vega,All,SA_CVA_CAPITAL,536.8747
CPTY_A,InterestRate,Delta,All,SA_CVA_CAPITAL,347.5728
CPTY_A,InterestRate,Delta,EUR,SA_CVA_CAPITAL,396.7917
CPTY_A,InterestRate,Delta,USD,SA_CVA_CAPITAL,250.5889
CPTY_A,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,113819.3336
CPTY_A,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,113819.3336
CPTY_A,Equity,Delta,12,SA_CVA_CAPITAL,12187.3216
CPTY_A,Equity,Delta,All,SA_CVA_CAPITAL,12187.3216
CPTY_A,Equity,Vega,12,SA_CVA_CAPITAL,14943.6414
CPTY_A,Equity,Vega,All,SA_CVA_CAPITAL,14943.6414
CPTY_A,Commodity,Delta,1,SA_CVA_CAPITAL,4636.4209
CPTY_A,Commodity,Delta,All,SA_CVA_CAPITAL,4636.4209
CPTY_A,Commodity,Vega,1,SA_CVA_CAPITAL,536.8747
CPTY_A,Commodity,Vega,All,SA_CVA_CAPITAL,536.8747
