#NettingSetId,RiskType,MarginType,Bucket,DeltaNet,DeltaTradeSum,PctDiff
CPTY_A,1,1,EUR,52107.5594594470,52306.4920120085,0.003818
CPTY_A,1,1,USD,-30988.6977600247,-31800.6291392168,-0.026201
CPTY_A,2,1,USD,138.2262444795,139.8571151166,0.011799
CPTY_A,3,1,2,2331755.8690493936,2358829.2141942820,0.011611
CPTY_A,5,1,12,81248.8105978833,81439.1426026462,0.002343
CPTY_A,5,2,12,19158.5146179088,19171.9381236973,0.000701
CPTY_A,6,1,1,15454.7363797811,10139.1188387050,-0.343947
CPTY_A,6,2,1,536.8747321274,598.5877181498,0.114949
,1,1,EUR,52107.5594594470,52306.4920120085,0.003818
,1,1,USD,-30988.6977600247,-31800.6291392168,-0.026201
,2,1,USD,138.2262444795,139.8571151166,0.011799
,3,1,2,2331755.8690493936,2358829.2141942820,0.011611
,5,1,12,81248.8105978833,81439.1426026462,0.002343
,5,2,12,19158.5146179088,19171.9381236973,0.000701
,6,1,1,15454.7363797811,10139.1188387050,-0.343947
,6,2,1,536.8747321274,598.5877181498,0.114949
