#NettingSet,RiskType,CvaType,MarginType,RiskFactor,Bucket,FxOrientation,Value
,InterestRate,CvaAggregate,Delta,1Y,EUR,USDEUR,8879.0839
,InterestRate,CvaAggregate,Delta,1Y,USD,USDEUR,-10999.9224
,InterestRate,CvaAggregate,Delta,5Y,EUR,USDEUR,43228.4755
,InterestRate,CvaAggregate,Delta,5Y,USD,USDEUR,-19988.7754
,ForeignExchange,CvaAggregate,Delta,FXSpot,USD,USDEUR,138.2262
,CreditCounterparty,CvaAggregate,Delta,CPTY_A/1Y,2,USDEUR,876869.9707
,CreditCounterparty,CvaAggregate,Delta,CPTY_A/5Y,2,USDEUR,1454885.8983
,Equity,CvaAggregate,Delta,SP5,12,USDEUR,81248.8106
,Equity,CvaAggregate,Vega,SP5,12,USDEUR,19158.5146
,Commodity,CvaAggregate,Delta,COMDTY_WTI_USD,1,USDEUR,15454.7364
,Commodity,CvaAggregate,Vega,COMDTY_WTI_USD,1,USDEUR,536.8747
CPTY_A,InterestRate,CvaAggregate,Delta,1Y,EUR,USDEUR,8879.0839
CPTY_A,InterestRate,CvaAggregate,Delta,1Y,USD,USDEUR,-10999.9224
CPTY_A,InterestRate,CvaAggregate,Delta,5Y,EUR,USDEUR,43228.4755
CPTY_A,InterestRate,CvaAggregate,Delta,5Y,USD,USDEUR,-19988.7754
CPTY_A,ForeignExchange,CvaAggregate,Delta,FXSpot,USD,USDEUR,138.2262
CPTY_A,CreditCounterparty,CvaAggregate,Delta,CPTY_A/1Y,2,USDEUR,876869.9707
CPTY_A,CreditCounterparty,CvaAggregate,Delta,CPTY_A/5Y,2,USDEUR,1454885.8983
CPTY_A,Equity,CvaAggregate,Delta,SP5,12,USDEUR,81248.8106
CPTY_A,Equity,CvaAggregate,Vega,SP5,12,USDEUR,19158.5146
CPTY_A,Commodity,CvaAggregate,Delta,COMDTY_WTI_USD,1,USDEUR,15454.7364
CPTY_A,Commodity,CvaAggregate,Vega,COMDTY_WTI_USD,1,USDEUR,536.8747
