#NettingSetId,RiskType,Bucket,MarginType,RiskFactor,CvaType,Sensitivity,RiskWeight
,InterestRate,EUR,Delta,1Y,CvaAggregate,8879.0839,0.0111
,InterestRate,EUR,Delta,1Y,CvaHedge,0.0000,0.0111
,InterestRate,EUR,Delta,5Y,CvaAggregate,43228.4755,0.0074
,InterestRate,EUR,Delta,5Y,CvaHedge,0.0000,0.0074
,InterestRate,USD,Delta,1Y,CvaAggregate,-10999.9224,0.0111
,InterestRate,USD,Delta,1Y,CvaHedge,0.0000,0.0111
,InterestRate,USD,Delta,5Y,CvaAggregate,-19988.7754,0.0074
,InterestRate,USD,Delta,5Y,CvaHedge,0.0000,0.0074
,ForeignExchange,USD,Delta,FXSpot,CvaAggregate,138.2262,0.1100
,ForeignExchange,USD,Delta,FXSpot,CvaHedge,138.2262,0.1100
,CreditCounterparty,2,Delta,CPTY_A/1Y,CvaAggregate,876869.9707,0.0500
,CreditCounterparty,2,Delta,CPTY_A/1Y,CvaHedge,0.0000,0.0500
,CreditCounterparty,2,Delta,CPTY_A/5Y,CvaAggregate,1454885.8983,0.0500
,CreditCounterparty,2,Delta,CPTY_A/5Y,CvaHedge,0.0000,0.0500
,Equity,12,Delta,SP5,CvaAggregate,81248.8106,0.1500
,Equity,12,Delta,SP5,CvaHedge,0.0000,0.1500
,Equity,12,Vega,SP5,CvaAggregate,19158.5146,0.7800
,Equity,12,Vega,SP5,CvaHedge,0.0000,0.7800
,Commodity,1,Delta,COMDTY_WTI_USD,CvaAggregate,15454.7364,0.3000
,Commodity,1,Delta,COMDTY_WTI_USD,CvaHedge,0.0000,0.3000
,Commodity,1,Vega,COMDTY_WTI_USD,CvaAggregate,536.8747,1.0000
,Commodity,1,Vega,COMDTY_WTI_USD,CvaHedge,0.0000,1.0000
CPTY_A,InterestRate,EUR,Delta,1Y,CvaAggregate,8879.0839,0.0111
CPTY_A,InterestRate,EUR,Delta,1Y,CvaHedge,0.0000,0.0111
CPTY_A,InterestRate,EUR,Delta,5Y,CvaAggregate,43228.4755,0.0074
CPTY_A,InterestRate,EUR,Delta,5Y,CvaHedge,0.0000,0.0074
CPTY_A,InterestRate,USD,Delta,1Y,CvaAggregate,-10999.9224,0.0111
CPTY_A,InterestRate,USD,Delta,1Y,CvaHedge,0.0000,0.0111
CPTY_A,InterestRate,USD,Delta,5Y,CvaAggregate,-19988.7754,0.0074
CPTY_A,InterestRate,USD,Delta,5Y,CvaHedge,0.0000,0.0074
CPTY_A,ForeignExchange,USD,Delta,FXSpot,CvaAggregate,138.2262,0.1100
CPTY_A,ForeignExchange,USD,Delta,FXSpot,CvaHedge,138.2262,0.1100
CPTY_A,CreditCounterparty,2,Delta,CPTY_A/1Y,CvaAggregate,876869.9707,0.0500
CPTY_A,CreditCounterparty,2,Delta,CPTY_A/1Y,CvaHedge,0.0000,0.0500
CPTY_A,CreditCounterparty,2,Delta,CPTY_A/5Y,CvaAggregate,1454885.8983,0.0500
CPTY_A,CreditCounterparty,2,Delta,CPTY_A/5Y,CvaHedge,0.0000,0.0500
CPTY_A,Equity,12,Delta,SP5,CvaAggregate,81248.8106,0.1500
CPTY_A,Equity,12,Delta,SP5,CvaHedge,0.0000,0.1500
CPTY_A,Equity,12,Vega,SP5,CvaAggregate,19158.5146,0.7800
CPTY_A,Equity,12,Vega,SP5,CvaHedge,0.0000,0.7800
CPTY_A,Commodity,1,Delta,COMDTY_WTI_USD,CvaAggregate,15454.7364,0.3000
CPTY_A,Commodity,1,Delta,COMDTY_WTI_USD,CvaHedge,0.0000,0.3000
CPTY_A,Commodity,1,Vega,COMDTY_WTI_USD,CvaAggregate,536.8747,1.0000
CPTY_A,Commodity,1,Vega,COMDTY_WTI_USD,CvaHedge,0.0000,1.0000
