#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,,CPTY_A,13961.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13961.07,0.00,None,1181172.46,1226011.95
Base,false,,0.00000000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,CPTY_A,514.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1616.48,1616.48
Base,false,,0.00000000,,0.00000000,EUR,EqCall_SP5_FD,CPTY_A,13608.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1192810.09,1232097.13
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,,CPTY_A,13961.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13961.93,0.00,None,1181290.30,1226010.71
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,CPTY_A,514.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1616.60,1616.60
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,EqCall_SP5_FD,CPTY_A,13609.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1192928.44,1232095.88
Up,false,DiscountCurve/EUR/1/5Y,0.00010000,,0.00000000,EUR,,CPTY_A,13965.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13965.33,0.00,None,1181656.23,1226011.95
Up,false,DiscountCurve/EUR/1/5Y,0.00010000,,0.00000000,EUR,ComFwd_WTI_QuantoEUR_5Y,CPTY_A,514.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1616.48,1616.48
Up,false,DiscountCurve/EUR/1/5Y,0.00010000,,0.00000000,EUR,EqCall_SP5_FD,CPTY_A,13612.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1193294.89,1232097.13
Up,false,DiscountCurve/USD/0/1Y,0.00010000,,0.00000000,EUR,,CPTY_A,13960.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13960.05,0.00,None,1181082.89,1225920.70
