#NettingSetId,TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base XVA,Delta,Gamma
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,514.77,0.00,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,514.77,0.00,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,514.77,0.00,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,514.77,-0.26,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,FXSpot/EURUSD/0/spot,0.011323,,0.000000,EUR,514.77,-5.10,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,514.77,5.15,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,SurvivalProbability/CPTY_A/0/1Y,0.000000,,0.000000,EUR,514.77,-1.19,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,514.77,6.16,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,CommodityCurve/COMDTY_WTI_USD/0/1Y,0.000000,,0.000000,EUR,514.77,100.39,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,CommodityVolatility/COMDTY_WTI_USD/3/1Y/ATM,0.001109,,0.000000,EUR,514.77,4.95,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,CommodityVolatility/COMDTY_WTI_USD/4/5Y/ATM,0.001092,,0.000000,EUR,514.77,0.86,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,false,CommodityVolatility/COMDTY_WTI_USD/5/10Y/ATM,0.001022,,0.000000,EUR,514.77,0.18,#N/A
CPTY_A,EqCall_SP5_FD,false,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,13608.34,0.86,#N/A
CPTY_A,EqCall_SP5_FD,false,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,13608.34,4.28,#N/A
CPTY_A,EqCall_SP5_FD,false,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,13608.34,-1.03,#N/A
CPTY_A,EqCall_SP5_FD,false,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,13608.34,-1.69,#N/A
