#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,822646.00,0.00,822646.03,822646.03,822646.03,822646.03,822646.03,822646.03
CPTY_A,2016-05-05,0.245902,822603.81,0.00,1072678.50,0.00,826706.34,826706.34,826706.34,826706.34
CPTY_A,2016-08-05,0.497268,822850.31,0.00,1156106.34,0.00,831170.22,831170.22,828962.81,828962.81
CPTY_A,2016-11-07,0.754098,823077.69,0.00,1218516.84,0.00,835620.36,835620.36,831230.24,831230.24
CPTY_A,2017-02-06,1.003002,823012.38,0.00,1337089.03,0.00,839655.06,839655.06,833320.93,833320.93
CPTY_A,2017-05-05,1.244098,823230.50,0.00,1401104.72,0.00,843863.66,843863.66,835364.02,835364.02
CPTY_A,2017-08-07,1.501632,824349.50,0.00,1489661.06,0.00,849295.20,849295.20,837753.26,837753.26
CPTY_A,2017-11-06,1.750947,824728.00,0.00,1526343.38,0.00,853855.55,853855.55,840046.04,840046.04
CPTY_A,2018-02-05,2.000262,824099.75,0.00,1576282.31,0.00,857392.76,857392.76,842208.16,842208.16
CPTY_A,2018-05-08,2.252317,823043.88,0.00,1635595.50,0.00,860577.22,860577.22,844263.83,844263.83
CPTY_A,2018-08-06,2.498892,821790.81,0.00,1679299.69,0.00,863472.75,863472.75,846159.24,846159.24
CPTY_A,2018-11-05,2.748207,822969.94,0.00,1735839.00,0.00,868991.24,868991.24,848230.54,848230.54
CPTY_A,2019-02-05,3.000262,824104.31,0.00,1761143.06,0.00,874543.09,874543.09,850441.09,850441.09
CPTY_A,2019-05-07,3.249577,824439.31,0.00,1817505.56,0.00,879228.42,879228.42,852649.72,852649.72
CPTY_A,2019-08-05,3.496152,825266.19,0.00,1864650.94,0.00,884417.83,884417.83,854890.25,854890.25
CPTY_A,2019-11-05,3.748207,824753.56,0.00,1913746.69,0.00,888290.84,888290.84,857136.33,857136.33
CPTY_A,2020-02-05,4.000000,825687.44,0.00,2001648.00,0.00,893746.22,893746.22,859440.85,859440.85
CPTY_A,2020-05-05,4.245902,827070.50,0.00,2047720.88,0.00,899613.50,899613.50,861767.46,861767.46
CPTY_A,2020-08-05,4.497268,826692.38,0.00,2081409.56,0.00,903688.89,903688.89,864110.57,864110.57
CPTY_A,2020-11-05,4.748634,826987.00,0.00,2139150.38,0.00,908521.64,908521.64,866461.45,866461.45
CPTY_A,2021-02-05,5.000262,828363.69,0.00,2198514.19,0.00,914574.80,914574.80,868882.65,868882.65
CPTY_A,2021-05-05,5.244098,830374.13,0.00,2258089.69,0.00,921231.13,921231.13,871316.71,871316.71
CPTY_A,2021-08-05,5.496152,829944.75,0.00,2280473.63,0.00,925361.72,925361.72,873795.23,873795.23
CPTY_A,2021-11-05,5.748207,789776.06,20.71,2133165.75,0.00,884980.85,925361.72,874285.71,876056.38
