#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BermSwp,2016-02-05,0.000000,68554,0,0,0,68554,68554,68554,68553.84,68553.84
BermSwp,2016-05-05,0.245902,68550,0,0,0,89390,68892,68892,68892.20,68892.20
BermSwp,2016-08-05,0.497268,68571,0,0,0,96342,69264,69264,69080.23,69080.23
BermSwp,2016-11-07,0.754098,68590,0,0,0,101543,69635,69635,69269.19,69269.19
BermSwp,2017-02-06,1.003002,68584,0,0,0,111424,69971,69971,69443.41,69443.41
BermSwp,2017-05-05,1.244098,68603,0,0,0,116759,70322,70322,69613.67,69613.67
BermSwp,2017-08-07,1.501632,68696,0,0,0,124138,70775,70775,69812.77,69812.77
BermSwp,2017-11-06,1.750947,68727,0,0,0,127195,71155,71155,70003.84,70003.84
BermSwp,2018-02-05,2.000262,68675,0,0,0,131357,71449,71449,70184.01,70184.01
BermSwp,2018-05-08,2.252317,68587,0,0,0,136300,71715,71715,70355.32,70355.32
BermSwp,2018-08-06,2.498892,68483,0,0,0,139942,71956,71956,70513.27,70513.27
BermSwp,2018-11-05,2.748207,68581,0,0,0,144653,72416,72416,70685.88,70685.88
BermSwp,2019-02-05,3.000262,68675,0,0,0,146762,72879,72879,70870.09,70870.09
BermSwp,2019-05-07,3.249577,68703,0,0,0,151459,73269,73269,71054.14,71054.14
BermSwp,2019-08-05,3.496152,68772,0,0,0,155388,73701,73701,71240.85,71240.85
BermSwp,2019-11-05,3.748207,68729,0,0,0,159479,74024,74024,71428.03,71428.03
BermSwp,2020-02-05,4.000000,68807,0,0,0,166804,74479,74479,71620.07,71620.07
BermSwp,2020-05-05,4.245902,68923,0,0,0,170643,74968,74968,71813.95,71813.95
BermSwp,2020-08-05,4.497268,68891,0,0,0,173451,75307,75307,72009.21,72009.21
BermSwp,2020-11-05,4.748634,68916,0,0,0,178263,75710,75710,72205.12,72205.12
BermSwp,2021-02-05,5.000262,69030,0,0,0,183210,76215,76215,72406.89,72406.89
BermSwp,2021-05-05,5.244098,69198,0,0,0,188174,76769,76769,72609.73,72609.73
BermSwp,2021-08-05,5.496152,69162,0,0,0,190039,77113,77113,72816.27,72816.27
BermSwp,2021-11-05,5.748207,65815,2,0,0,177764,73748,77113,72857.14,73004.70
BermSwp,2022-02-07,6.005741,65732,14,0,0,179991,74032,77113,72907.53,73180.89
BermSwp,2022-05-05,6.244098,66298,24,0,0,183984,75023,77113,72988.30,73331.01
BermSwp,2022-08-05,6.496152,66430,54,0,0,187630,75548,77113,73087.62,73477.77
BermSwp,2022-11-07,6.753687,62128,130,0,0,174780,71017,77113,73008.66,73616.41
BermSwp,2023-02-06,7.003002,62154,214,0,0,178131,71398,77113,72951.33,73740.91
BermSwp,2023-05-05,7.244098,62886,181,0,0,180595,72585,77113,72939.14,73853.15
