#datumDate,datumId,datumValue
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/10Y,0.0027750000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/15Y,0.0028375000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/20Y,0.0028750000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/2Y,0.0026375000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/30Y,0.0028875000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/3Y,0.0026500000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/4Y,0.0026625000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/5Y,0.0026875000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/7Y,0.0027125000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/10Y,0.0002490000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/12Y,0.0000173000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/15Y,-0.0002667000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/20Y,-0.0005758000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/25Y,-0.0007083000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/2Y,0.0007487000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/30Y,-0.0007824000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/3Y,0.0007432000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/4Y,0.0007538000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/5Y,0.0007058000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/6Y,0.0006720000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/7Y,0.0005712000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/8Y,0.0005021000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/9Y,0.0003805000
2023-01-31,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/10Y,-0.0024500000
2023-01-31,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/12Y,-0.0025375000
2023-01-31,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/15Y,-0.0025625000
2023-01-31,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/20Y,-0.0023688000
2023-01-31,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/25Y,-0.0019188000
2023-01-31,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/2Y,-0.0023625000
2023-01-31,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/30Y,-0.0015250000
